,SubjectID,StimulusType,response,RT
0,0,1,1,418
1,0,0,1,269
2,0,1,1,606
3,0,1,1,333
4,0,1,1,430
5,0,1,1,367
6,0,0,0,0
7,0,1,1,349
8,0,1,1,400
9,0,1,1,367
10,0,0,0,0
11,0,0,0,0
12,0,1,1,333
13,0,1,1,350
14,0,1,1,333
15,0,1,1,318
16,0,0,0,0
17,0,0,0,0
18,0,1,1,381
19,0,0,0,0
20,0,1,1,350
21,0,0,0,0
22,0,1,1,351
23,0,0,0,0
24,0,1,1,305
25,0,1,1,500
26,0,1,1,351
27,0,1,1,366
28,0,1,1,320
29,0,0,1,381
30,0,1,1,417
31,0,1,1,330
32,0,0,0,0
33,0,1,1,348
34,0,1,1,398
35,0,1,1,316
36,0,1,1,301
37,0,1,1,404
38,0,1,1,350
39,0,1,1,332
40,0,1,1,386
41,0,1,1,302
42,0,1,1,315
43,0,1,1,334
44,0,1,1,284
45,0,1,1,334
46,0,0,0,0
47,0,1,1,299
48,0,1,1,319
49,0,1,1,331
50,0,1,1,333
51,0,1,1,318
52,0,1,1,319
53,0,1,1,369
54,0,0,0,0
55,0,1,1,351
56,0,1,1,402
57,0,1,1,350
58,0,1,1,332
59,0,1,1,319
60,0,1,1,316
61,0,1,1,352
62,0,0,0,0
63,0,1,1,323
64,0,1,1,425
65,0,1,1,332
66,0,1,1,402
67,0,1,1,301
68,0,1,1,317
69,0,1,1,349
70,0,1,1,316
71,0,0,1,300
72,0,0,0,0
73,0,1,1,334
74,0,1,1,451
75,0,1,1,439
76,0,1,1,351
77,0,0,0,0
78,0,1,1,332
79,0,1,1,317
80,0,1,1,334
81,0,1,1,300
82,0,1,1,351
83,0,1,1,438
84,0,0,0,0
85,0,1,1,316
86,0,0,0,0
87,0,1,1,363
88,0,1,1,556
89,0,1,1,350
90,0,1,1,351
91,0,1,1,383
92,0,1,1,319
93,0,1,1,518
94,0,1,1,298
95,0,0,0,0
96,0,1,1,317
97,0,1,1,317
98,0,1,1,302
99,0,1,1,369
100,1,1,1,334
101,1,1,1,399
102,1,1,1,273
103,1,1,1,340
104,1,1,1,339
105,1,1,1,218
106,1,1,1,253
107,1,1,1,297
108,1,1,1,321
109,1,1,1,333
110,1,1,1,298
111,1,1,1,234
112,1,1,1,85
113,1,1,1,235
114,1,1,1,253
115,1,0,1,200
116,1,1,1,336
117,1,0,1,288
118,1,1,1,415
119,1,1,1,382
120,1,0,1,267
121,1,1,1,318
122,1,1,1,419
123,1,1,1,368
124,1,1,1,316
125,1,1,1,350
126,1,0,0,0
127,1,1,1,317
128,1,1,1,382
129,1,1,1,334
130,1,1,1,318
131,1,1,1,301
132,1,1,1,318
133,1,1,1,298
134,1,1,1,302
135,1,1,1,118
136,1,1,1,333
137,1,0,1,199
138,1,0,1,302
139,1,1,1,401
140,1,0,1,331
141,1,1,1,369
142,1,1,1,347
143,1,1,1,501
144,1,1,1,299
145,1,1,1,561
146,1,1,1,305
147,1,1,1,305
148,1,1,1,306
149,1,1,1,578
150,1,1,1,543
151,1,0,0,0
152,1,0,0,0
153,1,1,1,435
154,1,1,1,267
155,1,0,0,0
156,1,1,1,367
157,1,0,1,331
158,1,1,1,632
159,1,1,1,332
160,1,1,1,385
161,1,0,1,398
162,1,1,1,318
163,1,1,1,665
164,1,0,1,16
165,1,1,1,582
166,1,1,1,383
167,1,1,1,301
168,1,1,1,300
169,1,0,0,0
170,1,1,1,302
171,1,0,0,0
172,1,1,1,301
173,1,1,1,435
174,1,1,1,302
175,1,1,1,297
176,1,0,0,0
177,1,0,1,285
178,1,1,1,568
179,1,1,1,285
180,1,1,1,284
181,1,1,1,317
182,1,1,1,368
183,1,1,1,333
184,1,1,1,318
185,1,1,1,318
186,1,1,1,285
187,1,0,1,281
188,1,1,1,384
189,1,1,1,317
190,1,1,1,299
191,1,1,1,267
192,1,1,1,317
193,1,1,1,318
194,1,0,0,0
195,1,1,1,301
196,1,1,1,301
197,1,1,1,289
198,1,0,0,0
199,1,1,1,319
200,0,1,1,475
201,0,0,1,238
202,0,1,1,288
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,0,1,1,337
207,0,1,1,339
208,0,1,1,289
209,0,1,1,306
210,0,1,1,287
211,0,1,1,305
212,0,1,1,322
213,0,0,0,0
214,0,1,1,254
215,0,1,1,271
216,0,1,1,272
217,0,0,0,0
218,0,1,1,271
219,0,1,1,271
220,0,1,1,271
221,0,1,1,271
222,0,1,1,304
223,0,0,0,0
224,0,1,1,306
225,0,1,1,372
226,0,1,1,524
227,0,1,1,339
228,0,1,1,304
229,0,0,0,0
230,0,1,1,305
231,0,1,1,406
232,0,1,1,355
233,0,1,1,577
234,0,1,1,340
235,0,1,1,322
236,0,1,1,322
237,0,1,1,322
238,0,1,1,303
239,0,1,1,288
240,0,1,1,355
241,0,0,0,0
242,0,1,1,305
243,0,1,1,322
244,0,1,1,372
245,0,1,1,488
246,0,1,1,389
247,0,0,0,0
248,0,1,1,439
249,0,1,1,423
250,0,1,1,542
251,0,1,1,339
252,0,1,1,490
253,0,1,1,305
254,0,0,1,51
255,0,1,1,541
256,0,1,1,764
257,0,1,1,339
258,0,1,1,355
259,0,1,1,289
260,0,1,1,307
261,0,1,1,272
262,0,1,1,288
263,0,1,1,270
264,0,1,1,272
265,0,0,0,0
266,0,1,1,270
267,0,1,1,269
268,0,0,0,0
269,0,0,0,0
270,0,1,1,356
271,0,1,1,323
272,0,1,1,289
273,0,1,1,271
274,0,1,1,288
275,0,1,1,321
276,0,1,1,289
277,0,1,1,271
278,0,1,1,288
279,0,0,0,0
280,0,1,1,288
281,0,0,0,0
282,0,1,1,218
283,0,0,1,254
284,0,0,0,0
285,0,1,1,255
286,0,0,0,0
287,0,1,1,304
288,0,1,1,288
289,0,1,1,272
290,0,0,0,0
291,0,1,1,271
292,0,1,1,287
293,0,1,1,288
294,0,1,1,254
295,0,1,1,288
296,0,1,1,289
297,0,1,1,305
298,0,1,1,305
299,0,1,1,288
300,1,1,1,645
301,1,0,0,0
302,1,1,1,372
303,1,1,1,406
304,1,1,1,322
305,1,1,1,389
306,1,1,1,373
307,1,1,1,370
308,1,1,1,370
309,1,1,1,288
310,1,0,0,0
311,1,1,1,340
312,1,1,1,559
313,1,0,0,0
314,1,1,1,339
315,1,1,1,322
316,1,1,1,473
317,1,1,1,338
318,1,1,1,422
319,1,1,1,271
320,1,0,1,339
321,1,1,1,289
322,1,1,1,305
323,1,1,1,306
324,1,0,0,0
325,1,1,1,355
